"01.w_Defects/bit_shift.c:106","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:133","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:146","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:175","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:208","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:21","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:225","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:45","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:69","(error) Shifting by a negative value is undefined behaviour"
"01.w_Defects/bit_shift.c:81","(error) Shifting 32-bit value by 32 bits is undefined behaviour"
"01.w_Defects/bit_shift.c:93","(error) Shifting by a negative value is undefined behaviour"
"01.w_Defects/buffer_overrun_dynamic.c:106","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:124","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:21","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:229","(style) The scope of the variable 'index' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:244","(style) The scope of the variable 'index' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:328","(style) The scope of the variable 'indexes' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:329","(style) The scope of the variable 'index' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:332","(error) Array 'indexes4' accessed at index 4, which is out of bounds."
"01.w_Defects/buffer_overrun_dynamic.c:381","(style) The scope of the variable 'p2' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:398","(style) The scope of the variable 'p' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:414","(style) The scope of the variable 'p' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:415","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:456","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:53","(style) The scope of the variable 'ret' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:54","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:571","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:601","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_overrun_dynamic.c:606","(error) Array 'ptr_si.arr10' accessed at index 10, which is out of bounds."
"01.w_Defects/buffer_overrun_dynamic.c:88","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:109","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:127","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:177","(error) Array index -3 is out of bounds."
"01.w_Defects/buffer_underrun_dynamic.c:22","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:233","(style) The scope of the variable 'index' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:247 -> 01.w_Defects/buffer_underrun_dynamic.c:248","(style) Variable 'index' is reassigned a value before the old one has been used."
"01.w_Defects/buffer_underrun_dynamic.c:333","(style) The scope of the variable 'indexes' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:334","(style) The scope of the variable 'index' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:386","(style) The scope of the variable 'p2' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:403","(style) The scope of the variable 'p' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:419","(style) The scope of the variable 'p' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:420","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:459","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:479","(style) The scope of the variable 'p' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:495","(style) The scope of the variable 'p' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:531","(error) Array 'buf1' accessed at index -1, which is out of bounds."
"01.w_Defects/buffer_underrun_dynamic.c:56","(style) The scope of the variable 'ret' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:571","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:57","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:600","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:615","(style) The scope of the variable 'c' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:640","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:640","(style) The scope of the variable 'loc' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:642","(style) The scope of the variable 'ch' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:670","(style) Condition 'loc1==0' is always true"
"01.w_Defects/buffer_underrun_dynamic.c:675","(style) Condition 'loc2==0' is always true"
"01.w_Defects/buffer_underrun_dynamic.c:694","(style) The scope of the variable 'test' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:700","(error) Array 'newTest10' accessed at index -10, which is out of bounds."
"01.w_Defects/buffer_underrun_dynamic.c:700","(style) Variable 'c' is assigned a value that is never used."
"01.w_Defects/buffer_underrun_dynamic.c:713","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:746","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:746","(style) The scope of the variable 'loc' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:771","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/buffer_underrun_dynamic.c:91","(style) The scope of the variable 'i' can be reduced."
"01.w_Defects/conflicting_cond.c:103","(warning) Logical conjunction always evaluates to false: a == 0 && a == 1."
"01.w_Defects/conflicting_cond.c:118","(warning) Logical conjunction always evaluates to false: a == 0 && a == 1."
"01.w_Defects/conflicting_cond.c:137","(warning) Logical conjunction always evaluates to false: a == 0 && a == 1."
"01.w_Defects/conflicting_cond.c:157","(warning) Logical conjunction always evaluates to false: a < 5 && a > 10."
"01.w_Defects/conflicting_cond.c:199","(warning) Logical conjunction always evaluates to false: a == 0 && a == 1."
"01.w_Defects/conflicting_cond.c:24","(warning) Logical conjunction always evaluates to false: a == 0 && a == 1."
"01.w_Defects/conflicting_cond.c:43","(warning) Logical conjunction always evaluates to false: a < 5 && a > 10."
"01.w_Defects/data_overflow.c:165","(error) Signed integer overflow for expression 'max+128'."
"01.w_Defects/data_overflow.c:177","(error) Signed integer overflow for expression 'max*2'."
"01.w_Defects/data_overflow.c:190","(error) Signed integer overflow for expression 'max+d'."
"01.w_Defects/data_overflow.c:216","(error) Signed integer overflow for expression '(5*max)+3'."
